Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
6735 Delmonico Dr #304,2 Beds,1 Bath,967 sqft,1999,Garage,Pool,"$250,000",Colorado
6102 Rockville Dr,3 Beds,3 Baths,"1,203 sqft",2002,1 Car Garage,No,"$375,000",Colorado
920 E San Miguel St,4 Beds,2 Baths,"2,080 sqft",1956,Garage,No,"$495,000",Colorado
1056 Yuma St,2 Beds,2 Baths,"1,184 sqft",1998,No Info,,"$550,000",Colorado
6215 Balance Cir,4 Beds,3 Baths,"2,918 sqft",2003,2 Car Garage,No,"$449,999",Colorado
7710 Julynn Rd,4 Beds,4 Baths,"2,798 sqft",1995,2 Car Garage,No,"$585,000",Colorado
219 Farragut Ave,3 Beds,2 Baths,"2,015 sqft",1924,Garage,No,"$550,000",Colorado
4165 Golf Club Dr,3 Beds,3 Baths,"3,840 sqft",2002,Garage,No,"$484,900",Colorado
10 Stratton Ave,4 Beds,3 Baths,"2,778 sqft",1964,3 Car Garage,No,"$695,000",Colorado
4490 Joyce Pl,3 Beds,1 Bath,"1,286 sqft ",1980,2 Car Garage,No,"$279,000",Colorado
295 Pyrite Ter,5 Beds,3 Baths,"3,834 sqft",2005,2 Car Garage,No,"$579,900",Colorado
7781 Barraport Dr,5 Beds,3 Baths,"3,200 sqft",2016,3 Car Garage,No,"$547,900",Colorado
2103 Wynkoop Dr,4 Beds,2 Baths,"1,939 sqft",1962,1 Car Garage,No,"$369,900",Colorado
806 Fountain Ct,3 Beds,1 Bath,"1,968 sqft",1957,No Info,No,"$299,000",Colorado
7145 Grey Feather Ct,3 Beds,3 Baths,"2,123 sqft",1982,2 Car Garage,No,"$410,000",Colorado
6912 Cloud Dancer Dr,5 Beds,4 Baths,"3,167 sqft",1998,2 Car Garage,No,"$479,900",Colorado
3422 Queen Anne Way,3 Beds,2 Baths,"1,682 sqft",1983,Garage,,"$280,000",Colorado
9791 Desert Lily Cir,3 Beds,3 Baths,"3,260 sqft",2016,Garage,No,"$458,900",Colorado
