Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
10714 Matinal Cir,3 Beds,2 Baths,"1,632 sqft",1986,2 Car Garage,No,"$999,000",San Diego
6103 Hughes St,3 Beds,2 Baths,"1,703 sqft",1952,Open Parking,No,"$670,000",San Diego
1080 Park Blvd #1801,2 Beds,2 Baths,"1,191 sqft",2007,4 Parking Spaces,Pool,"$788,000",San Diego
6855 Friars Rd #24,2 Beds,3 Baths,"1,334 sqft",1965,1 Open Spaces,Pool,"$650,000",San Diego
3770 Crown Point Dr #304,2 Beds,2 Baths,978 sqft ,1973,Garage,,"$874,999",San Diego
3751 Cowley Way,3 Beds,2 Baths,"1,440 sqft",1970,1 Car Garage,No,"$899,000",San Diego
5605 Friars Rd,2 Beds,2 Baths,"1,120 sqft ",1981,Garage,Pool,"$550,000",San Diego
11911 Chalon Ln,4 Beds,3 Baths,"1,831 sqft",1993,2 Car Garage,No,"$1,199,000",San Diego
4161 Winona Ave #8,1 Bed,1 Bath,551 sqft,1980,2 Parking Spaces,Pool,"$269,000",San Diego
407 Sears Ave,3 Beds,1 Bath,900 sqft,1954,1 Car Garage,No,"$599,900",San Diego
655 Columbia St #308,2 Beds,2 Baths,"1,066 sqft",1989,Garage,,"$599,900",San Diego
13064 Trail Dust Ave,4 Beds,2 Baths,"1,704 sqft",1977,2 Car Garage,No,"$999,000",San Diego
3767-71 Teak St,7 Beds,3 Baths,"2,033 sqft",1958,No Info,,"$850,000",San Diego
12685 Camino Mira Del Mar #151,2 Beds,2 Baths,864 sqft,1990,1 Carport Spaces,Pool,"$650,000",San Diego
8440 Via Mallorca #127,1 Bed,1 Bath,506 sqft,2000,Garage,Pool,"$390,000",San Diego
9356 Twin Trails Dr #101,3 Beds,2 Baths,"1,127 sqft",1987,Garage,Pool,"$589,000",San Diego
3540 Madison Ave #7,2 Beds,2 Baths,720 sqft,1984,1 Parking Spaces,,"$480,000",San Diego
5004 Ensign St,4 Beds,3 Baths,"1,635 sqft",1958,Garage,No,"$849,900",San Diego
3959 8th Ave #6,2 Beds,2 Baths,900 sqft,1993,Garage,,"$608,900",San Diego
16607 Orilla Dr,2 Beds,2 Baths,"1,120 sqft ",1965,Carport,Pool,"$450,000",San Diego
13057 Evening Creek Dr S #53,3 Beds,3 Baths,"1,447 sqft",2005,2 Car Garage,Pool,"$735,000",San Diego
2242 Pine St,3 Beds,2 Baths,"1,788 sqft",2009,Garage,No,"$1,735,000",San Diego
4647 Pico St #101,1 Bed,1 Bath,625 sqft,1976,1 Parking Spaces,Pool,"$415,000",San Diego
1048 S 26th St,2 Beds,1 Bath,610 sqft,1925,No Info,No,"$299,000",San Diego
10154 Camino Ruiz #5,2 Beds,2 Baths,808 sqft ,1990,Open Parking,Pool,"$450,000",San Diego
6383 Lake Apopka Pl,4 Beds,2 Baths,"1,412 sqft ",1962,Garage,No,"$899,000",San Diego
370 Rosecrans St #303,3 Beds,3 Baths,"1,558 sqft",1974,Garage,Pool,"$999,900",San Diego
4477 Mentone St #106,Studio,1 Bath,435 sqft,1968,1 Parking Spaces,Pool,"$275,000",San Diego
2154 Union St,3 Beds,2 Baths,"1,026 sqft",1940,No Info,No,"$899,000",San Diego
5847 Greycourt Ave,4 Beds,3 Baths,"1,073 sqft",1968,2 Car Garage,No,"$567,000",San Diego
1080 Park Blvd #204,Studio,1 Bath,462 sqft ,2007,Garage,,"$299,900",San Diego
4133 Jamul Ave,3 Beds,2 Baths,"1,342 sqft",1925,No Info,No,"$625,999",San Diego
3384 Aveley Pl,3 Beds,3 Baths,"1,440 sqft",1989,Garage,No,"$854,900",San Diego
17677 Corazon Pl,4 Beds,3 Baths,"2,679 sqft",1978,2 Parking Spaces,No,"$1,069,900",San Diego
3252 Hawk St,3 Beds,2 Baths,"1,571 sqft",1952,2 Car Garage,No,"$1,390,000",San Diego
2603 Soderblom Ave,3 Beds,3 Baths,"1,767 sqft ",1976,2 Car Garage,No,"$1,200,000",San Diego
3417 Albatross St,3 Beds,2 Baths,"1,505 sqft",1916,Open Parking,No,"$1,399,000",San Diego
17161 Alva Rd #1316,2 Beds,2 Baths,968 sqft,1992,Open Parking,Pool,"$505,000",San Diego
4034 Florida St #5,2 Beds,2 Baths,886 sqft,1988,Garage,,"$518,800",San Diego
6226 Castejon Dr,4 Beds,2 Baths,"2,248 sqft ",1965,2 Car Garage,No,"$2,195,000",San Diego
3572 Arizona St,3 Beds,2 Baths,"1,774 sqft",1925,Garage,No,"$1,349,000",San Diego
2984 Beachwood Bluff Way,3 Beds,3 Baths,"1,422 sqft",2008,2 Car Garage,Pool,"$805,000",San Diego
3280 Cedar St,2 Beds,1 Bath,816 sqft,1927,Garage,No,"$899,900",San Diego
7334 Mannix Ct,4 Beds,3 Baths,"1,999 sqft",1995,2 Car Garage,No,"$1,200,000",San Diego
4841 Twain Ave,2 Beds,2 Baths,936 sqft,1954,1 Car Garage,No,"$727,000",San Diego
1785 Ridge View Dr,4 Beds,3 Baths,"2,396 sqft",1955,2 Car Garage,Yes,"$895,000",San Diego
3462 Coastline Pl,3 Beds,2 Baths,"1,440 sqft ",2007,2 Car Garage,Pool,"$650,000",San Diego
618 Quail St,3 Beds,2 Baths,"1,371 sqft",1952,Open Parking,No,"$629,000",San Diego
1320 Muirlands Dr,7 Beds,10 Baths,"12,628 sqft ",2018,6 Car Garage,Yes,"$22,995,000",San Diego
1532 Altadena Ave,5 Beds,3 Baths,"1,960 sqft",1955,Garage,Yes,"$825,000",San Diego
1701 Washington Pl,3 Beds,3 Baths,"1,340 sqft",1908,4 Open Spaces,No,"$1,200,000",San Diego
1595 Cactusridge St,4 Beds,2 Baths,"1,629 sqft",1981,1 Car Garage,No,"$665,000",San Diego
1235 Parker Pl #3L,2 Beds,2 Baths,"1,028 sqft",1973,Garage,Pool,"$1,450,000",San Diego
3747 Keating St #2,2 Beds,3 Baths,"1,433 sqft",1982,Garage,,"$795,000",San Diego
4681 E Mountain View Dr,2 Beds,1 Bath,825 sqft,1923,Garage,No,"$749,000",San Diego
4807 Arlene St,3 Beds,3 Baths,"1,718 sqft",1958,2 Car Garage,Yes,"$929,900",San Diego
3605 Bernwood Pl #76,2 Beds,2 Baths,950 sqft ,1992,Carport,Pool,"$659,900",San Diego
1711 Hornblend St #D,3 Beds,3 Baths,"1,402 sqft",2000,1 Parking Spaces,,"$911,200",San Diego
3075 38th St,3 Beds,1 Bath,992 sqft,1957,Carport,No,"$694,000",San Diego
3710-3710 N 45th St,4 Beds,3 Baths,,1928,No Info,,"$699,000",San Diego
13236 Ocean Vista Rd,4 Beds,3 Baths,"2,205 sqft",1987,Garage,Yes,"$1,989,000",San Diego
1546 Beryl St,3 Beds,2 Baths,"1,702 sqft",1976,Open Parking,No,"$1,599,000",San Diego
4547 Cleveland Ave,3 Beds,2 Baths,"1,352 sqft",1935,Open Parking,No,"$1,149,000",San Diego
5150 Calle Sandwaves #25,3 Beds,3 Baths,"1,643 sqft ",2018,Garage,Pool,"$678,900",San Diego
10324 Caminito Banyon,2 Beds,2 Baths,"1,102 sqft",1973,Garage,No,"$549,000",San Diego
