Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
785 NW 45th St,4 Beds,2 Baths,"1,592 sqft",1939,1 Carport Spaces,No,"$435,000",Miami
321 NE 26th St #601,2 Beds,2 Baths,821 sqft,2018,1 Car Garage,Pool,"$340,000",Miami
2182 NW 17th St,,,"2,054 sqft",1975,2 Parking Spaces,,"$599,990",Miami
801 Brickell Bay Dr #1462,2 Beds,2 Baths,990 sqft,1968,Garage,,"$297,500",Miami
1810 NW 3rd St,,,"2,034 sqft",2004,4 Parking Spaces,,"$689,000",Miami
90 SW 3rd St #1210,1 Bed,1 Bath,722 sqft,2008,1 Car Garage,Pool,"$245,000",Miami
800 Claughton Island Dr #901,2 Beds,2 Baths,"1,000 sqft",1995,1 Car Garage,Pool,"$675,000",Miami
2814 Coconut Ave #2814,2 Beds,3 Baths,"1,000 sqft",2004,2 Car Garage,,"$550,000",Miami
1431 SW 20th St,,,"2,322 sqft",1947,4 Parking Spaces,,"$774,999",Miami
999 Brickell Bay Dr #410,2 Beds,2 Baths,990 sqft,1968,No Info,,"$285,000",Miami
2403 SW 31st Ave,2 Beds,1 Bath,925 sqft,1961,Open Parking,No,"$400,000",Miami
Address Not Disclosed,2 Beds,2 Baths,"1,077 sqft",2016,Garage,,"$500,000",Miami
3218 W Trade Ave #III3,2 Beds,3 Baths,876 sqft,1981,No Info,,"$450,000",Miami
521 NW 33rd Ave,5 Beds,3 Baths,"1,554 sqft",1944,Open Parking,No,"$289,000",Miami
500 Brickell Ave #4101,3 Beds,3 Baths,"1,494 sqft",2008,1 Car Garage,Pool,"$765,000",Miami
2754 SW 12th St,3 Beds,2 Baths,"1,208 sqft",1940,Open Parking,No,"$619,900",Miami
501 SW 1st St #607,2 Beds,1 Bath,789 sqft,1988,Garage,,"$198,000",Miami
2131 S Bayshore Dr,6 Beds,8 Baths,"5,960 sqft ",1910,Garage,No,"$12,900,000",Miami
1250 S Miami Ave #2211,1 Bed,2 Baths,796 sqft,2004,Garage,Pool,"$290,000",Miami
4851 SW 6th St,3 Beds,2 Baths,"1,595 sqft",1950,Garage,No,"$445,000",Miami
100 NE 49th St,3 Beds,1 Bath,"1,350 sqft",1939,Open Parking,No,"$598,000",Miami
2986 Shipping Ave,4 Beds,4 Baths,"3,525 sqft",1999,Garage,No,"$1,640,000",Miami
3083 Day Ave #3083,3 Beds,3 Baths,"1,900 sqft",2005,Garage,,"$1,200,000",Miami
350 S Miami Ave #3512,1 Bed,1 Bath,704 sqft,2008,Garage,Pool,"$275,000",Miami
31 SE 5th St #3514,2 Beds,3 Baths,"1,058 sqft",2006,Garage,Pool,"$455,000",Miami
350 S Miami Ave 2409 #2409,1 Bed,1 Bath,740 sqft,2008,1 Car Garage,Pool,"$310,000",Miami
1810 NW 47th St,3 Beds,2 Baths,846 sqft,1947,Open Parking,No,"$275,000",Miami
