Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
703 Kater St,3 Beds,3 Baths,"1,545 sqft",1958,Open Parking,Pool,"$595,000",Philadelphia
1819 E Oakdale St,2 Beds,2 Baths,907 sqft,1920,Open Parking,Pool,"$269,000",Philadelphia
219 Krams Ave #B1,2 Beds,1 Bath,886 sqft,1900,1 Parking Spaces,Pool,"$250,000",Philadelphia
1816 Addison St,3 Beds,2 Baths,"1,350 sqft",1860,Open Parking,Pool,"$815,000",Philadelphia
846 N Ringgold St,3 Beds,3 Baths,"1,208 sqft",1920,None,Pool,"$539,000",Philadelphia
2317 E Gordon St,2 Beds,1 Bath,948 sqft,No Info,Open Parking,Pool,"$375,000",Philadelphia
43 E Clapier St,6 Beds,2 Baths,"2,074 sqft",1900,Open Parking,No,"$269,000",Philadelphia
1210 Moore St,3 Beds,3 Baths,"1,650 sqft",1925,Open Parking,Pool,"$425,000",Philadelphia
1704 Delancey Pl,2 Beds,2 Baths,"1,200 sqft",No Info,Open Parking,Pool,"$575,000",Philadelphia
8612 Old Line Rd,3 Beds,2 Baths,"1,474 sqft",1965,Open Parking,No,"$360,000",Philadelphia
181 Grape St,3 Beds,2 Baths,"1,224 sqft",1900,Open Parking,Pool,"$345,000",Philadelphia
604 Miller St,2 Beds,2 Baths,900 sqft,1920,Open Parking,Pool,"$365,000",Philadelphia
7415 Rockwell Ave,3 Beds,1 Bath,"1,280 sqft",1953,Open Parking,No,"$250,000",Philadelphia
4027 Higbee St,3 Beds,2 Baths,"1,385 sqft",1940,1 Open Spaces,Pool,"$250,000",Philadelphia
8500 Seminole St,6 Beds,7 Baths,"7,920 sqft",1911,Garage,Yes,"$2,595,000",Philadelphia
1459 N Ithan St,2 Beds,2 Baths,930 sqft,1925,Open Parking,Pool,"$159,900",Philadelphia
1634 Fitzwater St #101,2 Beds,3 Baths,"1,274 sqft",2016,Open Parking,Pool,"$350,000",Philadelphia
5754 N 5th St,3 Beds,1 Bath,"1,324 sqft",1945,None,Pool,"$110,000",Philadelphia
1008 Spruce St #1R,3 Beds,1 Bath,"1,320 sqft",1925,Open Parking,Pool,"$289,900",Philadelphia
619 E Wildey St,1 Bed,1 Bath,866 sqft,1925,Open Parking,Pool,"$255,000",Philadelphia
12023 Academy Rd,3 Beds,3 Baths,"1,540 sqft",1959,1 Car Garage,Pool,"$284,900",Philadelphia
401 N Front St #1A,2 Beds,2 Baths,"1,200 sqft",2001,1 Car Garage,Pool,"$350,000",Philadelphia
1440 N Orkney St,2 Beds,2 Baths,"1,221 sqft",2021,Open Parking,Pool,"$375,000",Philadelphia
