Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
2785 Jackson St #1,3 Beds,2 Baths,"1,916 sqft",1927,Attached Garage,,"$2,500,000",San Francisco
2442 Broadway St,3 Beds,3 Baths,"2,400 sqft",No Info,1 Parking Spaces,,"$3,995,000",San Francisco
949 Treat Ave,2 Beds,1 Bath,,,,,"$1,149,000",San Francisco
1226 44th Ave,4 Beds,3 Baths,"1,915 sqft",1944,Attached Garage,No,"$1,195,000",San Francisco
3500 Wawona St,Studio,1 Bath,,No Info,Garage,,"$495,000",San Francisco
2250 24th St #319,2 Beds,1 Bath,809 sqft,1989,Garage,Pool,"$698,000",San Francisco
1100 Eddy St #H,2 Beds,2 Baths,892 sqft,1992,No Info,,"$788,000",San Francisco
2698 Pacific Ave,8 Beds,8 Baths,"10,734 sqft",1906,4 Car Garage,No,"$25,800,000",San Francisco
619-621 17th Ave,4 Beds,2 Baths,"3,300 sqft",1926,Garage,,"$1,985,000",San Francisco
20 Hancock St,5 Beds,4 Baths,"2,648 sqft",1902,2 Car Garage,,"$2,995,000",San Francisco
1001 Pine St #811,Studio,1 Bath,450 sqft ,No Info,Attached Garage,,"$579,000",San Francisco
224 Sea Cliff Ave,6 Beds,7 Baths,"7,170 sqft",1926,Attached Garage,No,"$15,375,000",San Francisco
221 25th Ave,3 Beds,3 Baths,"1,967 sqft",1923,Attached Garage,,"$1,795,000",San Francisco
2322 N Point St,2 Beds,3 Baths,"1,442 sqft",1929,0 Open Spaces,,"$1,795,000",San Francisco
430 2nd Ave,8 Beds,4 Baths,"3,944 sqft",1965,4 Car Garage,,"$2,595,000",San Francisco
1650-1652 11th Ave,8 Beds,5 Baths,"3,954 sqft",1986,Garage,,"$3,195,000",San Francisco
4531 20th St,3 Beds,3 Baths,,1991,Attached Garage,,"$1,995,000",San Francisco
945 Treat Ave,4 Beds,4 Baths,"2,762 sqft",No Info,Garage,,"$3,495,000",San Francisco
1001 Pine St #809,1 Bed,1 Bath,616 sqft ,1963,Attached Garage,,"$769,000",San Francisco
411 Banks St,4 Beds,2 Baths,"1,900 sqft",1900,No Info,No,"$1,450,000",San Francisco
401 Harrison St #20B,2 Beds,2 Baths,"1,311 sqft",2014,1 Parking Spaces,,"$1,895,000",San Francisco
1435 Bay St #24,1 Bed,1 Bath,865 sqft,1926,1 Parking Spaces,,"$995,000",San Francisco
21 Vasquez Ave,2 Beds,2 Baths,"1,628 sqft",1924,Garage,No,"$1,739,000",San Francisco
320 Woodside Ave,3 Beds,2 Baths,"1,752 sqft",1952,Attached Garage,No,"$1,595,000",San Francisco
100 Santa Paula Ave,5 Beds,4 Baths,"4,070 sqft",1922,2 Parking Spaces,No,"$6,750,000",San Francisco
1663 Beach St,4 Beds,3 Baths,"2,748 sqft",1935,Garage,,"$3,295,000",San Francisco
1943 Lyon St,3 Beds,2 Baths,"1,705 sqft",1900,1 Parking Spaces,,"$2,390,000",San Francisco
1512 Treat Ave,1 Bed,1 Bath,900 sqft,1906,Attached Garage,No,"$1,350,000",San Francisco
515 Pierce St #3,1 Bed,1 Bath,978 sqft,1923,1 Parking Spaces,,"$925,000",San Francisco
130 Marston Ave,2 Beds,1 Bath,,1910,Garage,No,"$1,295,000",San Francisco
739-741 Clayton St,5 Beds,1 Bath,"3,400 sqft",1904,Attached Garage,,"$3,125,000",San Francisco
225 Stoneridge Ln,2 Beds,2 Baths,"1,068 sqft",1995,1 Car Garage,Pool,"$750,000",San Francisco
258A 3rd Ave,2 Beds,1 Bath,"1,048 sqft",1910,No Info,,"$899,000",San Francisco
148 Prospect Ave,2 Beds,1 Bath,916 sqft,1900,No Info,,"$995,000",San Francisco
2587 18th Ave,3 Beds,3 Baths,"2,165 sqft",1932,Attached Garage,No,"$1,995,000",San Francisco
3790 21st St,5 Beds,6 Baths,"4,400 sqft",No Info,Attached Garage,No,"$6,850,000",San Francisco
3539 Webster St,4 Beds,3 Baths,"2,205 sqft",No Info,Attached Garage,,"$2,695,000",San Francisco
2169 Folsom St #M205,3 Beds,2 Baths,"2,485 sqft",2001,Garage,Pool,"$2,500,000",San Francisco
2259 Clay St,3 Beds,3 Baths,"3,063 sqft",1935,Attached Garage,,"$4,200,000",San Francisco
3031 Cabrillo St,3 Beds,2 Baths,"2,264 sqft",1936,Attached Garage,No,"$2,295,000",San Francisco
