Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
1080 Wisconsin Ave NW #2010,2 Beds,2 Baths,"1,094 sqft",1981,1 Car Garage,Pool,"$675,000",Washington
809 6th St NW #41,2 Beds,2 Baths,910 sqft,2005,1 Car Garage,Pool,"$499,000",Washington
1901 3rd St NW,7 Beds,8 Baths,"3,821 sqft",1910,Garage,No,"$2,699,900",Washington
700 New Hampshire Ave NW #1510,1 Bed,1 Bath,856 sqft,1971,1 Car Garage,Pool,"$595,000",Washington
1343 Kenyon St NW #2,2 Beds,2 Baths,"1,230 sqft",1915,Open Parking,Pool,"$849,500",Washington
2550 17th St NW #206,Studio,1 Bath,334 sqft,2015,1 Car Garage,Pool,"$195,000",Washington
57 N St NW #527,2 Beds,2 Baths,"1,002 sqft",2018,59 Car Garage,Pool,"$789,900",Washington
429 N St SW #S110,Studio,1 Bath,554 sqft,1964,No Info,Pool,"$209,000",Washington
1715 N Capitol St NE #4,2 Beds,2 Baths,"1,011 sqft",2021,Open Parking,Pool,"$619,900",Washington
3327 N St NW,5 Beds,9 Baths,"7,175 sqft",1817,Garage,Pool,"$6,100,000",Washington
1412 Massachusetts Ave SE,5 Beds,4 Baths,"2,970 sqft",1917,No Info,Pool,"$1,725,000",Washington
121 U St NW,5 Beds,4 Baths,"2,950 sqft",1906,Open Parking,Pool,"$1,489,000",Washington
631 D St NW #1145,3 Beds,4 Baths,"1,740 sqft",2004,None,Pool,"$1,099,000",Washington
4224 16th St NW,9 Beds,6 Baths,"6,671 sqft",1921,Open Parking,No,"$1,979,000",Washington
2725 Connecticut Ave NW #201,2 Beds,2 Baths,"1,065 sqft",1989,1 Car Garage,Pool,"$609,900",Washington
1211 Van St SE #404,Studio,1 Bath,420 sqft,2019,None,No,"$329,900",Washington
5611 5th St NW #L2,1 Bed,1 Bath,628 sqft,1939,Open Parking,Pool,"$288,000",Washington
3298 Chestnut St NW,4 Beds,4 Baths,"2,526 sqft ",1941,2 Car Garage,No,"$1,295,000",Washington
4700 Connecticut Ave NW #203,3 Beds,2 Baths,"1,957 sqft",1928,1 Car Garage,Pool,"$974,000",Washington
1200 Barnaby Ter SE,3 Beds,3 Baths,"1,913 sqft",1978,No Info,Pool,"$420,000",Washington
Available Soon Plan in Amaris by Hoffman & Associates,Studio,,,2021,No Info,No,,Washington
629 4th St NE #1,2 Beds,2 Baths,"1,000 sqft",1909,Open Parking,Pool,"$624,900",Washington
800 4th St SW #S314,1 Bed,1 Bath,588 sqft,1959,Open Parking,Pool,"$349,900",Washington
1426 21st St NW #403,1 Bed,1 Bath,549 sqft,1908,Open Parking,Pool,"$409,900",Washington
4219 16th St NW,5 Beds,5 Baths,"3,072 sqft",1923,2 Car Garage,Pool,"$1,230,000",Washington
1718 P St NW #307,1 Bed,1 Bath,758 sqft,1968,Open Parking,Pool,"$379,900",Washington
560 N St SW #N703,1 Bed,1 Bath,735 sqft,1966,Open Parking,Pool,"$349,900",Washington
1027 Hamlin St NE,3 Beds,4 Baths,"2,476 sqft",1937,Open Parking,No,"$925,000",Washington
1860 California St NW #303,1 Bed,1 Bath,,1916,Open Parking,Pool,"$450,000",Washington
