Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
146-15 123rd Ave,4 Beds,2 Baths,"2,688 sqft",1940,Garage,No,"$275,000",New York
1210 Evergreen Ave #4,2 Beds,1 Bath,"1,100 sqft",1913,No Info,,"$265,000",New York
122-18 Springfield Blvd,3 Beds,2 Baths,"1,200 sqft",1950,No Info,No,"$515,000",New York
129 Chapin Ave,3 Beds,3 Baths,"1,263 sqft",1960,Garage,No,"$899,000",New York
224 Stafford Ave,3 Beds,4 Baths,"1,850 sqft",2000,1 Car Garage,No,"$879,000",New York
100 W 57th St #4JK,3 Beds,3 Baths,"2,200 sqft",1962,No Info,,"$675,000",New York
30 Lorraine Loop,2 Beds,2 Baths,"1,570 sqft",1991,Attached Garage,No,"$499,000",New York
113-15 34th Ave #5G,2 Beds,1 Bath,,1953,No Info,No,"$135,000",New York
2410 Davidson Ave #A22,2 Beds,1 Bath,750 sqft,1923,No Info,,"$150,000",New York
1208 Pacific St #4G,3 Beds,2 Baths,980 sqft,1915,No Info,,"$675,000",New York
220-07 73rd Ave,2 Beds,1 Bath,,1950,Open Parking,,"$369,000",New York
171 Evergreen St,3 Beds,3 Baths,"1,912 sqft",1980,Garage,No,"$624,800",New York
19 Anderson Ave,3 Beds,3 Baths,"1,156 sqft",1940,Garage,No,"$378,000",New York
29 Leslie Ave,3 Beds,3 Baths,"2,744 sqft",1927,Attached Garage,No,"$1,490,000",New York
100 W 57th St #16K,Studio,1 Bath,580 sqft,1962,No Info,,"$220,000",New York
1132 64th St,8 Beds,4 Baths,"3,300 sqft",1924,No Info,,"$1,780,000",New York
6902 Kessel St,4 Beds,4 Baths,"1,828 sqft",1940,Garage,No,"$1,650,000",New York
61 Providence St,3 Beds,2 Baths,"1,380 sqft",1980,No Info,Yes,"$599,000",New York
8 James Pl,3 Beds,3 Baths,"1,296 sqft",1988,Open Parking,No,"$599,999",New York
232 W 15th St,6 Beds,7 Baths,"5,000 sqft",1901,No Info,,"$10,500,000",New York
246 E 86th St,3 Beds,2 Baths,"1,296 sqft",1945,No Info,No,"$559,999",New York
311 E 3rd St #22,2 Beds,1 Bath,650 sqft,1920,No Info,,"$515,000",New York
847 E 214th St,4 Beds,2 Baths,"2,214 sqft",1935,Garage,No,"$365,000",New York
16135 85th St,4 Beds,3 Baths,,1965,1 Car Garage,No,"$975,000",New York
16 Von Braun Ave,3 Beds,2 Baths,"1,320 sqft",1985,Carport,Yes,"$649,999",New York
160-53 20th Rd,4 Beds,2 Baths,,1950,No Info,No,"$948,000",New York
240 Ocean Pkwy #1C,1 Bed,1 Bath,545 sqft,1938,None,,"$200,000",New York
335 Edgegrove Ave,5 Beds,3 Baths,"4,389 sqft",1970,Garage,,"$899,000",New York
68 Garden St #B3C,2 Beds,2 Baths,"1,060 sqft",2007,No Info,,"$349,000",New York
8402 108th St,5 Beds,4 Baths,,1925,Garage,No,"$799,000",New York
42-47 248th St,3 Beds,2 Baths,"1,080 sqft",1930,No Info,No,"$748,000",New York
27 E 11th St,7 Beds,10 Baths,"9,000 sqft",1900,No Info,No,"$29,995,000",New York
244 Lake Ave,4 Beds,4 Baths,"1,408 sqft",2003,Garage,,"$685,000",New York
5715 Mosholu Ave #3B,2 Beds,2 Baths,"1,000 sqft",1962,No Info,,"$249,500",New York
941 Jerome Ave #9A,Studio,1 Bath,400 sqft,1927,No Info,,"$88,000",New York
15 Jackson Ct,3 Beds,3 Baths,"1,982 sqft",1940,Garage,No,"$1,180,000",New York
2314 35th St,4 Beds,2 Baths,,1945,1 Car Garage,,"$999,000",New York
15 Mercer St #5/4,4 Beds,9 Baths,"6,200 sqft",1910,No Info,,"$15,000,000",New York
522 W 29th St #7A,5 Beds,5 Baths,"3,586 sqft",2017,No Info,Pool,"$8,500,000",New York
473 Union St,5 Beds,5 Baths,"2,200 sqft",1899,No Info,No,"$1,900,000",New York
208 E 90th St #2W,2 Beds,1 Bath,"25,264 sqft",1920,No Info,,"$435,000",New York
181-52 Aberdeen Rd,5 Beds,6 Baths,,1935,1 Car Garage,No,"$1,858,000",New York
2136 E 27th St,8 Beds,5 Baths,"3,630 sqft",1930,Garage,,"$1,399,000",New York
111 Murray St #PH2,5 Beds,7 Baths,"7,488 sqft",2018,No Info,Pool,"$40,000,000",New York
760 Brady Ave #118,2 Beds,1 Bath,870 sqft,1930,No Info,,"$189,000",New York
227-23 88th Ave #227,2 Beds,1 Bath,,Year Built,,,"$225,000",New York
35 Grymes Hill Rd,4 Beds,4 Baths,"4,500 sqft ",1935,No Info,Yes,"$1,950,000",New York
33-65 14th St #6D,2 Beds,1 Bath,,,,,"$475,000",New York
21 Nutley Pl,2 Beds,2 Baths,"1,173 sqft",1935,Garage,No,"$620,000",New York
101 Governor Rd,4 Beds,3 Baths,"1,440 sqft",1950,1 Car Garage,No,"$750,000",New York
240-34 51st Ave,3 Beds,3 Baths,,1920,Garage,No,"$1,258,000",New York
154 Clinton St #B,2 Beds,2 Baths,,1900,No Info,,"$1,749,000",New York
10759 92nd St,6 Beds,3 Baths,"1,800 sqft",1920,Garage,,"$989,000",New York
163 E 82nd St,6 Beds,7 Baths,"7,000 sqft",2009,None,No,"$20,000,000",New York
32 Herkimer St #4,3 Beds,1 Bath,,Year Built,,,"$375,000",New York
350 Edison St,3 Beds,2 Baths,"1,604 sqft",1935,Garage,No,"$749,000",New York
99 Avenue B #1C,Studio,1 Bath,,Year Built,,,"$325,000",New York
17702 120th Ave,6 Beds,2 Baths,,2005,Garage,,"$699,000",New York
1352 82nd St,5 Beds,3 Baths,"2,024 sqft",1925,No Info,,"$1,499,000",New York
421 6th St,6 Beds,3 Baths,"3,672 sqft",1901,None,,"$3,650,000",New York
22 Greenfield Ct,2 Beds,3 Baths,"1,160 sqft",1991,Open Parking,,"$180,000",New York
545 Vineland Ave,4 Beds,2 Baths,"2,002 sqft",1975,Garage,Yes,"$729,999",New York
4809 30th Ave,3 Beds,5 Baths,,1945,Garage,,"$1,380,000",New York
175 E 62nd St #18B,2 Beds,2 Baths,"1,086 sqft",1963,No Info,,"$799,000",New York
479 Henry St,4 Beds,4 Baths,"4,800 sqft",1931,No Info,,"$7,500,000",New York
240 Park Ave S,3 Beds,5 Baths,800 sqft,2007,No Info,,"$25,000,000",New York
108 Bergen St,4 Beds,5 Baths,,1899,No Info,,"$5,695,000",New York
642 Shepherd Ave,5 Beds,4 Baths,"3,052 sqft",1986,No Info,,"$688,000",New York
261 Signs Rd #G,3 Beds,2 Baths,"1,512 sqft",1984,No Info,Pool,"$469,000",New York
458 3rd St #2R,3 Beds,2 Baths,"1,200 sqft",1900,No Info,,"$1,600,000",New York
100 W 57th St #7G,1 Bed,1 Bath,960 sqft,1962,No Info,,"$279,900",New York
6939 Olcott St,3 Beds,2 Baths,"1,440 sqft",1925,Garage,No,"$749,000",New York
57-15 224th St,6 Beds,4 Baths,"2,352 sqft",1965,2 Parking Spaces,,"$1,258,000",New York
91-15 215th Pl,3 Beds,3 Baths,,1920,Garage,No,"$799,000",New York
113-15 34th Ave #1F,2 Beds,1 Bath,,1953,Garage,,"$150,000",New York
210 E 84th St #3B,2 Beds,1 Bath,,Year Built,,,"$489,000",New York
281 Wyona St,9 Beds,4 Baths,"3,075 sqft",1901,No Info,,"$479,900",New York
107 W 25th St #5E,2 Beds,1 Bath,"1,100 sqft",1905,No Info,,"$1,495,000",New York
51 Lincoln Pl #3,3 Beds,2 Baths,,2018,No Info,,"$2,200,000",New York
109-89 142nd St,4 Beds,3 Baths,"1,789 sqft",1930,No Info,No,"$699,999",New York
407 Bainbridge St,5 Beds,2 Baths,"2,280 sqft",1899,None,,"$500,000",New York
140-39 34th Ave #6K,3 Beds,2 Baths,,1960,Garage,,"$448,000",New York
32 W 76th St,6 Beds,9 Baths,"10,635 sqft",1891,None,,"$27,500,000",New York
1822 E 35th St,3 Beds,2 Baths,"1,116 sqft",1925,Garage,No,"$699,000",New York
8111 24th Ave,4 Beds,3 Baths,"1,776 sqft",1920,Open Parking,No,"$1,150,000",New York
111-69 158th St,3 Beds,2 Baths,"1,488 sqft",1925,Garage,,"$427,500",New York
277 Potter Ave,3 Beds,1 Bath,"1,828 sqft",1920,Garage,No,"$622,500",New York
18-41 215th St #Townhouse 15,3 Beds,3 Baths,"1,400 sqft",1970,No Info,Pool,"$455,000",New York
