Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
1134 S Randolph St,3 Beds,2 Baths,"1,700 sqft",1920,Garage,No,"$249,900",Indianapolis
9341 E 14th St,3 Beds,2 Baths,"1,412 sqft ",1964,Garage,No,"$175,000",Indianapolis
3966 Waterfield Dr,4 Beds,3 Baths,"1,974 sqft",1998,Garage,No,"$189,900",Indianapolis
2914 Baltimore Ave,4 Beds,2 Baths,"1,368 sqft",1961,Garage,No,"$150,000",Indianapolis
5858 Hillside Ave,5 Beds,3 Baths,"3,873 sqft",1947,Garage,No,"$475,000",Indianapolis
7601 Newport Bay Dr #218,2 Beds,2 Baths,"1,400 sqft",1992,Garage,,"$157,500",Indianapolis
1709 N Hawthorne Ln,2 Beds,1 Bath,768 sqft,1952,Garage,No,"$84,900",Indianapolis
1327 E Minnesota St,3 Beds,2 Baths,"1,454 sqft",1920,No Info,No,"$125,000",Indianapolis
7417 Countrybrook Dr,2 Beds,2 Baths,"1,216 sqft",1966,1 Parking Spaces,,"$75,000",Indianapolis
10158 Lone Wolf Dr,3 Beds,3 Baths,"1,536 sqft",1997,Garage,No,"$170,000",Indianapolis
4734 E 34th St,3 Beds,2 Baths,"2,376 sqft",1953,Open Parking,No,"$99,900",Indianapolis
3054 Auburn Rd,4 Beds,2 Baths,"1,025 sqft",1956,Garage,No,"$135,000",Indianapolis
845 E 81st St,4 Beds,3 Baths,"3,410 sqft",1955,Garage,No,"$450,000",Indianapolis
8429 Catamaran Dr,3 Beds,3 Baths,"2,738 sqft ",1986,Garage,No,"$350,000",Indianapolis
4040 N Capitol Ave,3 Beds,2 Baths,"1,148 sqft",1947,Garage,No,"$160,000",Indianapolis
5742 Radnor Rd,4 Beds,2 Baths,"2,298 sqft ",1957,Garage,No,"$269,900",Indianapolis
2216 E 58th St,3 Beds,2 Baths,"2,320 sqft",1951,Garage,No,"$230,000",Indianapolis
6816 Lakeknoll Dr,2 Beds,2 Baths,"1,656 sqft ",1979,Open Parking,No,"$227,900",Indianapolis
5134 Fall Creek Rd,4 Beds,3 Baths,"2,612 sqft",1959,Garage,No,"$340,000",Indianapolis
2923 Washington Blvd,3 Beds,2 Baths,"2,334 sqft",1920,No Info,No,"$172,400",Indianapolis
2711 Del Prado Dr #2,3 Beds,2 Baths,"1,572 sqft",1973,Garage,,"$124,900",Indianapolis
2119 N Park Ave,3 Beds,3 Baths,"2,431 sqft",1910,Garage,No,"$369,000",Indianapolis
1420 S Alabama St,3 Beds,2 Baths,"1,080 sqft",1890,No Info,No,"$243,000",Indianapolis
35 N Whittier Pl,4 Beds,4 Baths,"2,164 sqft",1997,Garage,No,"$295,000",Indianapolis
616 N Tacoma Ave,4 Beds,2 Baths,"1,440 sqft",1900,Garage,No,"$250,000",Indianapolis
2945 Eastern Ave,3 Beds,2 Baths,"1,064 sqft ",1993,Garage,No,"$155,000",Indianapolis
2055 Mac Ct,3 Beds,1 Bath,"1,000 sqft",1956,Open Parking,No,"$150,000",Indianapolis
4952 Elaine St,3 Beds,1 Bath,975 sqft,1956,Open Parking,No,"$134,900",Indianapolis
861 Pioneer Woods Dr,3 Beds,4 Baths,"2,764 sqft",1997,Garage,No,"$299,900",Indianapolis
8020 N Meridian St,4 Beds,4 Baths,"3,316 sqft ",1944,Garage,No,"$850,000",Indianapolis
8734 Blue Marlin Dr,4 Beds,4 Baths,"4,786 sqft",2010,Garage,No,"$415,000",Indianapolis
3029 Skylar Ln,2 Beds,3 Baths,"2,520 sqft",2002,Garage,,"$169,900",Indianapolis
815 Birch Ave,3 Beds,2 Baths,"1,212 sqft",1900,Garage,No,"$105,000",Indianapolis
3942-3942 N Cornelius Ave #3944,6 Beds,3 Baths,,1920,Garage,,"$175,000",Indianapolis
1623 N New Jersey St,4 Beds,4 Baths,"3,455 sqft",2016,Garage,No,"$1,150,000",Indianapolis
4447 Kingsley Dr,2 Beds,1 Bath,768 sqft,1941,Garage,No,"$179,000",Indianapolis
2260 Central Ave,2 Beds,3 Baths,"1,197 sqft",2004,Garage,,"$225,000",Indianapolis
5151 Climbing Rose Pl,3 Beds,3 Baths,"2,004 sqft",2011,Garage,No,"$285,000",Indianapolis
4666 Boulevard Pl,3 Beds,2 Baths,"3,429 sqft ",1940,Garage,No,"$415,000",Indianapolis
9112 Turnbridge Ct,3 Beds,3 Baths,"1,925 sqft ",1984,Garage,No,"$300,000",Indianapolis
9521 Bay Vista West Dr,2 Beds,2 Baths,"2,056 sqft",1982,Garage,,"$179,500",Indianapolis
3106 N Capitol Ave,3 Beds,4 Baths,"4,334 sqft",1920,Garage,No,"$349,900",Indianapolis
4501 Millersville Rd,4 Beds,2 Baths,"1,728 sqft ",1943,Garage,No,"$240,000",Indianapolis
1917 E 75th St,3 Beds,2 Baths,"1,309 sqft",1954,Garage,No,"$192,000",Indianapolis
Bayhill Plan in Village at New Bethel - Patio Homes by D.R. Horton - Indiana,3 Beds,2 Baths,"1,595 sqft",2021,No Info,,"$301,719+",Indianapolis
6118 Munsee Ln,4 Beds,3 Baths,"1,932 sqft ",1970,Garage,No,"$295,000",Indianapolis
5225 Cornelius Ave,3 Beds,2 Baths,"3,828 sqft",1935,Garage,No,"$410,000",Indianapolis
2142 Debello Ct,3 Beds,2 Baths,"1,684 sqft",1990,Garage,No,"$220,000",Indianapolis
4071 Byram Ave,2 Beds,1 Bath,"2,089 sqft",1931,Garage,No,"$219,900",Indianapolis
5734 Bar Del West Dr,5 Beds,2 Baths,"2,195 sqft ",1968,Garage,No,"$285,000",Indianapolis
430 N Park Ave #502,1 Bed,1 Bath,"1,197 sqft",1910,Garage,,"$239,900",Indianapolis
11536 Old Stone Dr,5 Beds,4 Baths,"6,920 sqft ",1991,Garage,No,"$619,900",Indianapolis
8505 Frontgate Ln,6 Beds,8 Baths,"11,847 sqft ",2012,Garage,No,"$2,200,000",Indianapolis
450 E Ohio St #110,1 Bed,2 Baths,914 sqft,2002,Garage,,"$272,900",Indianapolis
Rosemont Plan in Village at New Bethel - Patio Homes by D.R. Horton - Indiana,3 Beds,2 Baths,"1,825 sqft",2021,No Info,,"$308,525+",Indianapolis
Richland Plan in Village at New Bethel - Patio Homes by D.R. Horton - Indiana,2 Beds,2 Baths,"1,596 sqft",2021,No Info,,"$274,900+",Indianapolis
Charleston Plan in Village at New Bethel - Patio Homes by D.R. Horton - Indiana,2 Beds,2 Baths,"1,579 sqft",2021,No Info,,"$295,838+",Indianapolis
Ashland Plan in Village at New Bethel - Patio Homes by D.R. Horton - Indiana,2 Beds,2 Baths,"1,327 sqft",2021,No Info,,"$298,327+",Indianapolis
3125 Fisher Rd,4 Beds,3 Baths,"2,590 sqft",1974,Garage,No,"$265,000",Indianapolis
Barrymoor Plan in Village at New Bethel - Patio Homes by D.R. Horton - Indiana,2 Beds,2 Baths,"1,745 sqft",2021,No Info,,"$259,900+",Indianapolis
Address Not Disclosed,3 Beds,3 Baths,"1,926 sqft",2003,Garage,No,"$265,000",Indianapolis
8231 Furlong Cir,2 Beds,2 Baths,"1,348 sqft",1987,Garage,No,"$225,000",Indianapolis
635 Eastern Ave,4 Beds,4 Baths,"3,386 sqft",1910,Garage,No,"$150,000",Indianapolis
8842 Classic View Dr,3 Beds,3 Baths,"2,543 sqft ",1990,Garage,No,"$350,000",Indianapolis
5226 E 20th St,2 Beds,1 Bath,"1,440 sqft",1954,Garage,No,"$110,000",Indianapolis
11020 E McDowell Dr,4 Beds,2 Baths,"1,464 sqft",1962,Garage,No,"$119,900",Indianapolis
930 W 75th St,4 Beds,2 Baths,"2,810 sqft ",1960,Garage,No,"$325,000",Indianapolis
17 S Tuxedo St,4 Beds,2 Baths,,1910,Open Parking,,"$99,900",Indianapolis
3128 S Rural St,3 Beds,1 Bath,912 sqft,1955,Garage,No,"$100,000",Indianapolis
741 Parkway Ave,3 Beds,3 Baths,"3,005 sqft",1900,Garage,No,"$330,000",Indianapolis
6808 N Sherman Dr,4 Beds,3 Baths,"3,111 sqft",1962,Open Parking,No,"$449,900",Indianapolis
11605 Lone Pine Cir,4 Beds,3 Baths,"2,976 sqft ",2003,Garage,No,"$274,900",Indianapolis
9112 Tansel Ct,4 Beds,4 Baths,"3,635 sqft",1980,Garage,No,"$339,900",Indianapolis
7310 Normandy Way,6 Beds,6 Baths,"7,157 sqft",1994,Garage,No,"$599,900",Indianapolis
206 W Brunswick Ave,4 Beds,2 Baths,"1,705 sqft ",1964,Garage,No,"$218,900",Indianapolis
606 E Minnesota St,4 Beds,4 Baths,"3,676 sqft",1890,Garage,No,"$549,900",Indianapolis
6205 Cradle River Dr,3 Beds,2 Baths,"1,173 sqft",1999,Garage,No,"$195,000",Indianapolis
3920 Moller Rd,3 Beds,1 Bath,"1,297 sqft ",1958,Garage,No,"$177,900",Indianapolis
10025 Northwind Dr,4 Beds,5 Baths,"3,902 sqft ",1995,Garage,No,"$529,000",Indianapolis
2531 S Pennsylvania St,4 Beds,2 Baths,"2,430 sqft",2017,Garage,No,"$140,000",Indianapolis
1602 Briarstone Way,2 Beds,2 Baths,"1,494 sqft",2000,Garage,,"$177,900",Indianapolis
6025 Westhaven Dr,7 Beds,1 Bath,"2,052 sqft",1962,Open Parking,No,"$179,900",Indianapolis
4326 Guilford Ave,3 Beds,2 Baths,"2,923 sqft",1920,No Info,No,"$249,000",Indianapolis
1932 N Bancroft St,2 Beds,2 Baths,"1,664 sqft",1949,Open Parking,No,"$82,500",Indianapolis
309 Sanders St,2 Beds,2 Baths,983 sqft,1862,Garage,No,"$260,000",Indianapolis
556 N Belmont Ave,4 Beds,3 Baths,"2,340 sqft",1910,No Info,No,"$194,900",Indianapolis
2832 N Kristen East Dr,3 Beds,2 Baths,"1,248 sqft ",1956,No Info,No,"$100,000",Indianapolis
1619 N Graham Ave,3 Beds,1 Bath,"2,400 sqft",1959,Garage,No,"$149,900",Indianapolis
3020 W 61st St,2 Beds,1 Bath,920 sqft ,1921,Garage,No,"$124,900",Indianapolis
9409 Thornwood Dr,5 Beds,3 Baths,"1,988 sqft ",1979,Garage,No,"$249,999",Indianapolis
3111 Benny Ln,3 Beds,2 Baths,988 sqft,1995,Garage,No,"$190,000",Indianapolis
2219 Colfax Ln,2 Beds,3 Baths,"1,423 sqft",2003,Garage,,"$192,000",Indianapolis
